;;
IS_IN_REGION;находится в регионе;
tozama_daimyo;Tozama Daimyo;
fudai_daimyo;Fudai Daimyo;
emperor_meiji;Император Мэйдзи;
supports_imperial_edict;Поддерживает императорский указ против иностранцев;
angered_by_bakufu;Возмущенный бакуфу;
sakoku;Sakoku;
sakoku_desc;Что означает «закрытая страна», это политика, согласно которой ни один иностранец не мог въехать в Японию под страхом смерти. Поддерживаемый сёгунатом Токугава, он держал нацию в принудительной изоляции с 17 века.;
rangaku;Rangaku;
rangaku_desc;Означая «голландское обучение», это относится к совокупности знаний, разработанных Японией благодаря ее контактам с голландским анклавом Дэдзима, что позволило Японии идти в ногу с западными технологиями и медициной в период, когда страна была закрыта для иностранцев.;
ansei_purge;Ансей Чистка;
kobu_gattai;Kobu Gattai;
kobu_gattai_desc;Это была политика сёгуната Токугава, направленная на усиление политической координации между бакуфу и Императорским двором, а также на умиротворение противников внутри самого сёгуната.;
fukoku_kyohei;Fukoku Kyohei;
EVTNAME185;$COUNTRY_ADJ$ Запрет?;
EVTDESC185;В этом году в одном из наших штатов активизировалась Лига трезвости $COUNTRY_ADJ$, проводившая кампанию по преследованию местных трактиров и торговцев спиртными напитками. Многие из их наиболее политически настроенных членов даже обращались к членам правительства в $CAPITAL$, требуя большей поддержки своей кампании.;
EVTNAME186;$COUNTRY_ADJ$ Распутники;
EVTDESC186;Распутная культура в $COUNTRY$ вызвала критику, поскольку новости о скандале доходят до самых высших уровней правительства. Несколько министров обвиняются в сомнительных сделках, а в $CAPITAL$ есть призывы к правительству поддержать религиозные группы в их призывах к умеренности и воздержанию.;
EVTNAME2600;$STATENAME$ Интеграция;
EVTDESC2600;$COUNTRY$ сохранил контроль над $STATENAME$, чтобы мы рассмотрели возможность его интеграции в $COUNTRY$ в целом. В $PROVINCENAME$ развеваются флаги $COUNTRY_ADJ$, которыми управляют граждане $COUNTRY_ADJ$, так что не кажется такой надуманной идея, что $STATENAME$ в конечном итоге будет считаться территорией $COUNTRY_ADJ$ миром в целом.;
EVTNAME2605;$PROVINCENAME$ Интегрировано в $COUNTRY$;
EVTDESC2605;$COUNTRY$ контролировало $PROVINCENAME$ в течение долгого времени - достаточно долго, чтобы те, кто в $PROVINCENAME$, действительно считали себя гражданами $COUNTRY_ADJ$, а остальной мир также считал претензии $COUNTRY_ADJ$ на провинцию законными. Хотя есть еще недовольные развитием, $PROVINCENAME$ теперь считается неотъемлемой частью $COUNTRY$.;
EVTNAME2610;$STATENAME$ Ассимиляция;
EVTDESC2610;$STATENAME$ считается территорией $COUNTRY_ADJ$ - это оспаривается только теми соседями, которые все еще признают претензии на территорию и утверждают, что многие в $STATENAME$ считают себя гражданами своей страны, а не нашей. Первым шагом к тому, чтобы сделать их претензии недействительными, было бы проведение политики, поощряющей ассимиляцию всех людей внутри $STATENAME$ ... они должны быть гражданами $COUNTRY_ADJ$ и не иметь никакой другой национальности, помимо нашей.;
EVTNAME2611;Политика ассимиляции отменена;
EVTDESC2611;С приходом к власти нового правительства и его более либеральными взглядами на меньшинства в рамках $COUNTRY$ вся политика ассимиляции, направленная на искоренение меньшинств других национальностей, была отменена. В вооруженных силах $COUNTRY_ADJ$ есть те, кто предупреждает, что это опасная идея и что сохранение этой иностранной идентичности приведет только к дальнейшему конфликту с нашими соседями, но на данный момент их голоса игнорируются.;
EVTNAME2615;Сожжены флаги в $PROVINCENAME$;
EVTDESC2615;Демонстрация в $PROVINCENAME$ переросла в насилие, когда меньшинства подняли флаги $COUNTRY_ADJ$ и сожгли их - демонстрация своего неприятия наших попыток ассимилировать их в $COUNTRY$. Власти разогнали демонстрацию, но в районе продолжает расти недовольство. Беспорядки распространились даже на других граждан, которые начали призывать правительство $COUNTRY_ADJ$ прекратить политику ассимиляции и оставить меньшинства в покое.;
EVTNAME2616;Инцидент в $PROVINCENAME$;
EVTDESC2616;Недавний арест иностранца в $PROVINCENAME$ привел к дипломатическому инциденту. Многие меньшинства внутри $PROVINCENAME$ утверждают, что этот человек был арестован исключительно за то, что он выступал против политики ассимиляции $COUNTRY_ADJ$ и пытался распространять информацию о мирном сопротивлении. Власти $COUNTRY_ADJ$ говорят, что интересы этого человека были отнюдь не мирными, и они подозревают, что он на самом деле работает на одного из наших соседей с претензией на $PROVINCENAME$. Какова бы ни была правда, реакция ни в малейшей степени не была мирной - ожидаются беспорядки, и власти говорят, что опасаются восстания в этом районе.;
EVTNAME2620;Флаги развеваются в $PROVINCENAME$!;
EVTDESC2620;Недавно в $PROVINCENAME$ состоялся парад с высоко развевающимся флагом $COUNTRY_ADJ$, и его держат люди, которые до недавнего времени, вероятно, вообще не считали бы себя гражданами $COUNTRY_ADJ$. На $PROVINCENAME$ по-прежнему претендует другая страна, но принятие людей $PROVINCENAME$ имеет большое значение для того, чтобы сделать устранение этого неизбежным фактом.;
EVTNAME2625;$PROVINCENAME$ Усвоил!;
EVTDESC2625;Флаг $COUNTRY_ADJ$ - единственный, который теперь можно встретить развевающимся на улицах $PROVINCENAME$. В конце концов, это $COUNTRY_ADJ$ и только $COUNTRY_ADJ$ можно считать территорией. Даже те, кто являются представителями других культур, больше не считают себя действительно частью наших соседей, хотя эти соседи могут быть недовольны ситуацией.;
EVTNAME2626;Претензии в $FROMCOUNTRY$;
EVTDESC2626;$FROMCOUNTRY$ продолжает владеть некоторыми из наших земель, землями, которые до сегодняшнего дня всегда считались частью национальной территории $COUNTRY_ADJ$. Однако $FROMCOUNTRY_ADJ$ программа ассимиляции преуспела в том, чтобы отучить наш собственный народ от всякого чувства, как если бы это было правдой. Они больше не считают себя $COUNTRY_ADJ$, да и международное сообщество, похоже, с ними согласно.;
EVTNAME2650;$FROMCOUNTRY_ADJ$ Земли;
EVTDESC2650;По нашему мирному договору с $FROMCOUNTRY$ мы должны отдать земли, которые им принадлежат по праву, и только те, которые им принадлежат.;
EVTNAME2651;Спрос $FROMCOUNTRY_ADJ$;
EVTDESC2651;По нашему мирному договору с $FROMCOUNTRY$ мы должны отдать земли, которые по праву принадлежат другому народу, но только те земли.;
EVTNAME2660;Наши земли вернулись;
EVTDESC2660;По договору с $FROMCOUNTRY$ часть земель $COUNTRY$ подлежит возврату. Однако мы имеем право только на те земли, на которые у нас есть претензии. Любые другие по всем правилам должны быть возвращены в $FROMCOUNTRY$.\n\n§RПРИМЕЧАНИЕ: Если вы взяли основные провинции $FROMCOUNTRY_ADJ$, которые не являются вашими основными провинциями в этой войне, то включение опции «возврат» вернет эти земли. Будьте осторожны!§W;
EVTDESC10100_NEW;Phytophthora infestans, страшная болезнь картофеля, поразила одну из наших сельскохозяйственных провинций. Мелкие землевладельцы голодали, а в некоторых местах целые семьи были вынуждены покинуть свои дома, гниль картофеля вызвала локальный голод, который угрожает распространиться.;
EVTNAME10120_NEW;$COUNTRY_ADJ$ Вестник;
EVTDESC10120_NEW;В $COUNTRY$ начал выходить новый ежедневник. Вестник $COUNTRY_ADJ$, публикующий резкие политические комментарии, литературную критику и местные новости, быстро превратился в флагман местной либеральной политики.;
EVTDESC10130_NEW;В $COUNTRY$ открылось местное отделение Чартистского общества, призывающее к расширению избирательного права и прекращению земельного права голоса.;
EVTDESC10140_NEW;В $COUNTRY$ начали набирать обороты либеральные идеи. Хотя никто не знает наверняка, ходят слухи, что основной причиной этого внезапного подъема либеральной пропаганды является недавнее основание тайного общества, вынужденного скрываться из-за преследования любой законной оппозиции правящей партии. Будь то розенкрейцеры или иллюминаты, эти члены общества будут продолжать действовать из тени, пока $COUNTRY$ не разрешит свободную дискуссию и оппозицию в своей политике.;
EVTDESC10150_NEW;Смог от заводов низко висит на фоне кроваво-красного угольно-черного неба. Далеко в глубине города, в самых глубоких недрах промышленной машины, на фоне водосточных труб и дымовых труб слышны крики и вопли формирующейся толпы. Разъяренные плохими условиями труда, требующие возврата к утраченной пастырской мечте, луддиты выходят на улицы в $COUNTRY$.;
EVTDESC10160_NEW;Безнравственность подобна воде, которая течет через каждую мыслимую щель в плотинах законной власти. Либералы в $COUNTRY$ в связи с запретом митингов начали устраивать банкеты. Якобы бесцельно — собрание друзей, торжество, пиршество — общеизвестный секрет, который никто не осмеливается произнести, состоит в том, что эти банкеты являются политическими собраниями, проводимыми под тонким покровом законности.;
EVTDESC10170_NEW;Подобно крысам, разносящим заразные болезни, проповедники современности легко перемещаются туда и обратно через наши границы. Либеральная агитация перекинулась на $PROVINCENAME$ из соседней губернии и теперь грозит воспламенить все государство. Возможно, мы захотим послать сюда войска.;
EVTDESC10200_NEW;Смерть $MONARCHTITLE$!» — кричит хриплый голос. Улицы в $PROVINCENAME$ ожили. Местная несправедливость или восприятие таковой воодушевили немытые массы на бунт против нашего правления и угрожают распространиться на остальную часть штата. Восстание все еще достаточно слабое, чтобы его будущее направление не было предопределено, и снисходительность могла бы предотвратить его, но, может быть, лучше твердо стоять на своем, чтобы подать пример?;
EVTNAME10205;Бои на улицах;
EVTDESC10205;Напряженность в одной из наших провинций недавно достигла точки кипения, когда либералы и реакционеры дерутся на улицах. Полиция $COUNTRY_ADJ$ быстро прибыла, но страсти остаются накаленными, и уже есть сообщения о боевых действиях в других частях штата. Власти призывают к решительным действиям, чтобы положить конец насилию.;
EVTNAME10215;Вдохновленные националисты;
EVTDESC10215;Поднялись националисты в $COUNTRY$, вдохновленные волной либерализма в соседнем народе. По улицам бегают агитаторы, размахивая флагами и призывая своих собратьев к борьбе за свободу. Ответное насилие могло бы воспламенить все государство, но чиновники $COUNTRY_ADJ$ согласны с тем, что это не может продолжаться.;
EVTNAME10155;Паннационалистический пыл;
EVTDESC10155;По частям $COUNTRY$ прокатился пыл, когда либерально настроенные революционеры призвали граждан $COUNTRY_ADJ$ подняться и потребовать объединения $CULTURE_GROUP_UNION$. Они начали размахивать на улицах флагами $UNION_ADJ$, разжигая беспорядки и насилие. Полиция столкнулась с трудностями в решении проблемы.;
EVTNAME10190_NEW;Огненная проповедь в $PROVINCENAME$;
EVTNAME10200_NEW;Либеральное восстание в $PROVINCENAME$;
EVTNAME10210_NEW;Либеральный бунт в $PROVINCENAME$;
EVTNAME10216;Националистический задор в $PROVINCENAME$;
EVTDESC10216;Поднялись националисты в $PROVINCENAME$, вдохновленные волной либерализма в $COUNTRY$. По улицам бегают агитаторы, размахивая флагами и призывая своих собратьев к борьбе за свободу. Ответное насилие могло бы воспламенить все государство, но чиновники $COUNTRY_ADJ$ согласны с тем, что это не может продолжаться.;
EVTNAME10221;Чартистское ралли в Кеннингтон-Коммон;
EVTDESC10221;Массовая демонстрация чартистов прошла в Кеннингтон-Коммон, либералы требовали немедленной реализации Народной хартии, предоставления равных голосов всем мужчинам, богатым и бедным, а также тайного голосования и справедливого распределения избирательных округов. Многие в правительстве предлагают объявить такие публичные собрания незаконными и что в лучшем случае британское правительство должно давать пустые обещания этим подстрекателям. Другие опасаются, что отказ от их требований приведет к свержению монархии в результате восстания.;
EVTNAME10222;Французская революция $YEAR$;
