EVTNAME46306;;
EVTDESC46306;x;
EVTOPTA46306;Балаяда;
EVTNAME46305;В центре элитарного класса возник спор о политической власти, что нашло отражение в Маранго в оппозиции либералов и консерваторов. Когда Педро де Арахо Лима стал премьер-министром, спровоцировав так называемый консервативный регресс, консерваторы маранго воспользовались возможностью свергнуть либералов у власти и еще больше ослабить их, наняв на работу скотоводов, которых традиционно поддерживали либералы. Событием, положившим начало восстанию, было задержание брата владельца ранчо Гомеса, либерала, по приказу заместителя мэра города Манга, консерватора. Оспаривая задержание своего брата, Гомеш при поддержке отряда Национальной гвардии вторгся в муниципальную тюрьму и освободил его в $YEAR$, положив начало восстанию против консервативного правительства.;
EVTDESC46305;Проклятые либералы.;
EVTOPTA46305;Кабанагемская революция;
EVT96216OPTA;До 1822 года Грё-Пар была отдельным от Бразилии вице-королевством, подчинявшимся непосредственно Португалии. Вице-королевство объединилось с Бразилией в борьбе против Португалии, но как только борьба за независимость закончилась и было установлено провинциальное правительство, назначенное бразильским императором, местные лидеры были отстранены от власти. В 1831 году в военном гарнизоне Белема вспыхнуло восстание с участием одного из этих местных лидеров, Батисты Кампоса, который был заключен в тюрьму. Возмущение бедноты росло, и уже в 1833 году заговорили о преобразовании Бразилии в федерацию. Президент провинции развязал репрессивную политическую волну, пытаясь сдержать сепаратистов. Название «Кабанагем» относится к типу хижин, используемых самыми бедными людьми в провинции. Элитные земледельцы Грго-Пара, хотя и жили намного лучше, возмущались отсутствием их участия в принятии решений центральным правительством, в котором доминировали юго-восточные и северо-восточные провинции.;
EVT96215OPTA;Нам нужно вернуть их на место.;
EVTOPTD22581;Великая судьба ждет!;
EVTDESC22585;Возмутительно!;
EVTOPTC22584;Никогда больше не беспокой меня этим.;
EVTDESC22584;Несколько членов ближайшего окружения правительства собрались вместе с $COUNTRY_ADJ$ и $MONARCHTITLE$ в $CAPITAL$, чтобы подробно обсудить торговую политику правительства. Хотя все они согласны с политикой свободной торговли, некоторые из них хотят более либеральной политики в экономике $COUNTRY_ADJ$, в то время как другие предпочитают сохранить свободу установления низких тарифов. Третья, более радикальная позиция стойкого либерализма заключается в полной отмене тарифов. Свободная бюрократическая рабочая сила может быть использована в других областях, и они утверждают, что рыночная свобода будет стимулировать исследования и усилит наше влияние на зарубежных рынках.;
EVTOPTA22584;Внешняя торговля не должна регулироваться.;
EVTDESC22582;Несколько членов ближайшего окружения правительства собрались вместе с $COUNTRY_ADJ$ и $MONARCHTITLE$ в $CAPITAL$, чтобы подробно обсудить торговую политику правительства. Хотя все они согласны с политикой свободной торговли, некоторые из них хотят более либеральной политики в экономике $COUNTRY_ADJ$, в то время как другие предпочитают сохранить свободу установления низких тарифов. Снижая тарифы, мы высвобождаем часть бюрократической рабочей силы, которую можно использовать в других областях, утверждают они.;
EVTOPTC22581;Внешняя торговля должна быть свободной.;
EVTNAME22581;Несколько членов ближайшего окружения правительства собрались вместе с $COUNTRY_ADJ$ и $MONARCHTITLE$ в $CAPITAL$, чтобы подробно обсудить торговую политику правительства. Хотя все они согласны с протекционистской политикой, некоторые из них хотят более надежной защиты экономики $COUNTRY_ADJ$, в то время как другие предпочитают сохранять свободу при установлении тарифов. Третья, более радикальная позиция стойкого протекционизма, получившая название «Система $COUNTRY_ADJ$», выступает за очень высокие тарифы для развития и защиты промышленности $COUNTRY_ADJ$. Это будет стимулировать нашу промышленность, но, несомненно, повредит нашей способности влиять на другие страны.;
EVTDESC22581;Интересы $COUNTRY_ADJ$ должны стоять на первом месте и превыше всего.;
EVTOPTA22581;Кабинет министров обсуждает торговую политику;
EVTOPTB22581;Несколько членов ближайшего окружения правительства собрались вместе с $COUNTRY_ADJ$ и $MONARCHTITLE$ в $CAPITAL$, чтобы подробно обсудить торговую политику правительства. Хотя все они согласны с протекционистской политикой, некоторые из них хотят более надежной защиты экономики $COUNTRY_ADJ$, в то время как другие предпочитают сохранять свободу при установлении тарифов.;
EVTNAME46610103;Нам нужно защитить экономику $COUNTRY_ADJ$.;
EVTDESC46610103;Мы хотим сохранить гибкость в нашей торговой политике.;
EVT46610103OPTA;Арбитраж Такна-Арика;
EVT46610103OPTB;После Тихоокеанской войны Перу потерпело поражение и было вынуждено подписать Ансенский договор. По этому договору Тарапак был присоединен к Чили. Однако судьбу Такны и Арики должен был решить плебисцит, который должен был состояться в 1893 году. Из-за разных точек зрения обе страны не смогли договориться об условиях этого плебисцита, и поэтому он не был проведен. Затем Чили начала колонизировать две территории, и Перу ответило разрывом дипломатических отношений. В $YEAR$ Чили и Перу согласились разрешить спор с $MONARCHTITLE$ $COUNTRY$. Была сформирована комиссия по вопросу о том, кому принадлежит Такна, и теперь осталось только их окончательное решение.;
EVTNAME46610102;Такна принадлежит Перу.;
EVTDESC46610102;Такна принадлежит Чили.;
EVT46610102OPTA;$YEAR$ Договор $CAPITAL$;
EVT46610102OPTB;Когда Боливия стала независимой от Испании в 1825 г., она получила во владение территории, которые соответствовали ее колониальному управлению в соответствии с uti possidetis juris 1810 г. Боливия претендовала на морскую территорию к западу от Анд до Тихого океана между реками Рио-Саладо и на юге и Рио-Лоа на севере, включая часть пустыни Атакама. Позже, в середине 19 века, Чили заявила права на пустыню после открытия и эксплуатации месторождений нитратов и массового переселения своего населения на работу в недавно обнаруженные богатства в Антофагасте. Из-за этого последующие десятилетия были свидетелями большого кровопролития на границах Боливии, Перу и Чили. $FROMCOUNTRY$ внесло предложение, получив международное одобрение, решить эту проблему мирным путем и установить условия новых границ, выплатив контрибуции всем причастным. Региональные власти обратили на нас внимание, ожидая нашей реакции и последствий для будущего региона Антофагаста.;
EVTNAME810008;Мы согласны. Оставим наши разногласия позади.;
EVTDESC810008;Мы никогда не будем вести переговоры с этими ворами.;
EVTOPTA810008;$FROMCOUNTRY$ соглашается помочь;
EVTNAME810003;Правительство $FROMCOUNTRY_ADJ$ согласилось возместить Копенгагену убытки в связи с отменой звуковой пошлины.;
EVTDESC810003;Хороший.;
EVTOPTA810003;$CAPITAL$ Конвенция $YEAR$;
