;;x
IS_IN_REGION;;
tozama_daimyo;находится в регионе;
fudai_daimyo;Tozama Daimyo;
emperor_meiji;Fudai Daimyo;
supports_imperial_edict;Император Мэйдзи;
angered_by_bakufu;Поддерживает императорский указ против иностранцев;
sakoku;Возмущенный бакуфу;
sakoku_desc;Sakoku;
rangaku;Что означает «закрытая страна», это политика, согласно которой ни один иностранец не мог въехать в Японию под страхом смерти. Поддерживаемый сёгунатом Токугава, он держал нацию в принудительной изоляции с 17 века.;
rangaku_desc;Rangaku;
ansei_purge;Означая «голландское обучение», это относится к совокупности знаний, разработанных Японией благодаря ее контактам с голландским анклавом Дэдзима, что позволило Японии идти в ногу с западными технологиями и медициной в период, когда страна была закрыта для иностранцев.;
kobu_gattai;Ансей Чистка;
kobu_gattai_desc;Kobu Gattai;
fukoku_kyohei;Это была политика сёгуната Токугава, направленная на усиление политической координации между бакуфу и Императорским двором, а также на умиротворение противников внутри самого сёгуната.;
EVTNAME185;Fukoku Kyohei;
EVTDESC185;$COUNTRY_ADJ$ Запрет?;
EVTNAME186;В этом году в одном из наших штатов активизировалась Лига трезвости $COUNTRY_ADJ$, проводившая кампанию по преследованию местных трактиров и торговцев спиртными напитками. Многие из их наиболее политически настроенных членов даже обращались к членам правительства в $CAPITAL$, требуя большей поддержки своей кампании.;
EVTDESC186;$COUNTRY_ADJ$ Распутники;
EVTNAME2600;Распутная культура в $COUNTRY$ вызвала критику, поскольку новости о скандале доходят до самых высших уровней правительства. Несколько министров обвиняются в сомнительных сделках, а в $CAPITAL$ есть призывы к правительству поддержать религиозные группы в их призывах к умеренности и воздержанию.;
EVTDESC2600;$STATENAME$ Интеграция;
EVTNAME2605;$COUNTRY$ сохранил контроль над $STATENAME$, чтобы мы рассмотрели возможность его интеграции в $COUNTRY$ в целом. В $PROVINCENAME$ развеваются флаги $COUNTRY_ADJ$, которыми управляют граждане $COUNTRY_ADJ$, так что не кажется такой надуманной идея, что $STATENAME$ в конечном итоге будет считаться территорией $COUNTRY_ADJ$ миром в целом.;
EVTDESC2605;$PROVINCENAME$ Интегрировано в $COUNTRY$;
EVTNAME2610;$COUNTRY$ контролировало $PROVINCENAME$ в течение долгого времени - достаточно долго, чтобы те, кто в $PROVINCENAME$, действительно считали себя гражданами $COUNTRY_ADJ$, а остальной мир также считал претензии $COUNTRY_ADJ$ на провинцию законными. Хотя есть еще недовольные развитием, $PROVINCENAME$ теперь считается неотъемлемой частью $COUNTRY$.;
EVTDESC2610;$STATENAME$ Ассимиляция;
EVTNAME2611;$STATENAME$ считается территорией $COUNTRY_ADJ$ - это оспаривается только теми соседями, которые все еще признают претензии на территорию и утверждают, что многие в $STATENAME$ считают себя гражданами своей страны, а не нашей. Первым шагом к тому, чтобы сделать их претензии недействительными, было бы проведение политики, поощряющей ассимиляцию всех людей внутри $STATENAME$ ... они должны быть гражданами $COUNTRY_ADJ$ и не иметь никакой другой национальности, кроме нашей.;
EVTDESC2611;Политика ассимиляции отменена;
EVTNAME2615;С приходом к власти нового правительства и его более либеральными взглядами на меньшинства в рамках $COUNTRY$ вся политика ассимиляции, направленная на искоренение меньшинств других национальностей, была отменена. В вооруженных силах $COUNTRY_ADJ$ есть те, кто предупреждает, что это опасная идея и что сохранение этой иностранной идентичности приведет только к дальнейшему конфликту с нашими соседями, но на данный момент их голоса игнорируются.;
EVTDESC2615;Сожжены флаги в $PROVINCENAME$;
EVTNAME2616;Демонстрация в $PROVINCENAME$ переросла в насилие, когда меньшинства подняли флаги $COUNTRY_ADJ$ и сожгли их - демонстрация своего неприятия наших попыток ассимилировать их в $COUNTRY$. Власти разогнали демонстрацию, но в районе продолжает расти недовольство. Беспорядки распространились даже на других граждан, которые начали призывать правительство $COUNTRY_ADJ$ прекратить политику ассимиляции и оставить меньшинства в покое.;
EVTDESC2616;Инцидент в $PROVINCENAME$;
EVTNAME2620;Недавний арест иностранца в $PROVINCENAME$ привел к дипломатическому инциденту. Многие меньшинства внутри $PROVINCENAME$ утверждают, что этот человек был арестован исключительно за то, что он выступал против политики ассимиляции $COUNTRY_ADJ$ и пытался распространять информацию о мирном сопротивлении. Власти $COUNTRY_ADJ$ говорят, что интересы этого человека были отнюдь не мирными, и они подозревают, что он на самом деле работает на одного из наших соседей с претензией на $PROVINCENAME$. Какова бы ни была правда, реакция ни в малейшей степени не была мирной - ожидаются беспорядки, и власти говорят, что опасаются восстания в этом районе.;
EVTDESC2620;Флаги развеваются в $PROVINCENAME$!;
EVTNAME2625;Недавно в $PROVINCENAME$ состоялся парад с высоко развевающимся флагом $COUNTRY_ADJ$, и его держат люди, которые до недавнего времени, вероятно, вообще не считали бы себя гражданами $COUNTRY_ADJ$. На $PROVINCENAME$ по-прежнему претендует другая страна, но принятие людей $PROVINCENAME$ имеет большое значение для того, чтобы сделать устранение этого неизбежным фактом.;
EVTDESC2625;$PROVINCENAME$ Усвоил!;
EVTNAME2626;Флаг $COUNTRY_ADJ$ - единственный, который теперь можно встретить развевающимся на улицах $PROVINCENAME$. В конце концов, это $COUNTRY_ADJ$ и только $COUNTRY_ADJ$ можно считать территорией. Даже те, кто являются представителями других культур, больше не считают себя действительно частью наших соседей, хотя эти соседи могут быть недовольны ситуацией.;
EVTDESC2626;Претензии в $FROMCOUNTRY$;
EVTNAME2650;$FROMCOUNTRY$ продолжает владеть некоторыми из наших земель, землями, которые до сегодняшнего дня всегда считались частью национальной территории $COUNTRY_ADJ$. Однако $FROMCOUNTRY_ADJ$ программа ассимиляции преуспела в том, чтобы отучить наш собственный народ от всякого чувства, как если бы это было правдой. Они больше не считают себя $COUNTRY_ADJ$, да и международное сообщество, похоже, с ними согласно.;
EVTDESC2650;$FROMCOUNTRY_ADJ$ Земли;
EVTNAME2651;По нашему мирному договору с $FROMCOUNTRY$ мы должны отдать земли, которые им принадлежат по праву, и только те, которые им принадлежат.;
EVTDESC2651;Спрос $FROMCOUNTRY_ADJ$;
EVTNAME2660;По нашему мирному договору с $FROMCOUNTRY$ мы должны отдать земли, которые по праву принадлежат другому народу, но только те земли.;
EVTDESC2660;Наши земли вернулись;
EVTDESC10100_NEW;По договору с $FROMCOUNTRY$ часть земель $COUNTRY$ подлежит возврату. Однако мы имеем право только на те земли, на которые у нас есть претензии. Любые другие по всем правилам должны быть возвращены в $FROMCOUNTRY$.\n\n§RПРИМЕЧАНИЕ: Если вы взяли основные провинции $FROMCOUNTRY_ADJ$, которые не являются вашими основными провинциями в этой войне, то включение опции «возврат» вернет эти земли. Будьте осторожны!§W;
EVTNAME10120_NEW;Phytophthora infestans, страшная болезнь картофеля, поразила одну из наших сельскохозяйственных провинций. Мелкие землевладельцы голодали, а в некоторых местах целые семьи были вынуждены покинуть свои дома, гниль картофеля вызвала локальный голод, который угрожает распространиться.;
EVTDESC10120_NEW;$COUNTRY_ADJ$ Вестник;
EVTDESC10130_NEW;В $COUNTRY$ начал выходить новый ежедневник. Вестник $COUNTRY_ADJ$, публикующий резкие политические комментарии, литературную критику и местные новости, быстро превратился в флагман местной либеральной политики.;
EVTDESC10140_NEW;В $COUNTRY$ открылось местное отделение Чартистского общества, призывающее к расширению избирательного права и прекращению земельного права голоса.;
EVTDESC10150_NEW;В $COUNTRY$ начали набирать обороты либеральные идеи. Хотя никто не знает наверняка, ходят слухи, что основной причиной этого внезапного подъема либеральной пропаганды является недавнее основание тайного общества, вынужденного скрываться из-за преследования любой законной оппозиции правящей партии. Будь то розенкрейцеры или иллюминаты, эти члены общества будут продолжать действовать из тени, пока $COUNTRY$ не разрешит свободную дискуссию и оппозицию в своей политике.;
EVTDESC10160_NEW;Смог от заводов низко висит на фоне кроваво-красного угольно-черного неба. Далеко в глубине города, в самых глубоких недрах промышленной машины, на фоне водосточных труб и дымовых труб слышны крики и вопли формирующейся толпы. Разъяренные плохими условиями труда, требующие возврата к утраченной пастырской мечте, луддиты выходят на улицы в $COUNTRY$.;
EVTDESC10170_NEW;Безнравственность подобна воде, которая течет через каждую мыслимую щель в плотинах законной власти. Либералы в $COUNTRY$ в связи с запретом митингов начали устраивать банкеты. Якобы бесцельно — собрание друзей, торжество, пиршество — общеизвестный секрет, который никто не осмеливается произнести, состоит в том, что эти банкеты являются политическими собраниями, проводимыми под тонким покровом законности.;
EVTDESC10200_NEW;Подобно крысам, разносящим заразные болезни, проповедники современности легко перемещаются туда и обратно через наши границы. Либеральная агитация перекинулась на $PROVINCENAME$ из соседней губернии и теперь грозит воспламенить все государство. Возможно, мы захотим послать сюда войска.;
EVTNAME10205;Смерть $MONARCHTITLE$!» — кричит хриплый голос. Улицы в $PROVINCENAME$ ожили. Местная несправедливость или восприятие таковой воодушевили немытые массы на бунт против нашего правления и угрожают распространиться на остальную часть штата. Восстание все еще достаточно слабое, чтобы его будущее направление не было предопределено, и снисходительность могла бы предотвратить его, но, может быть, лучше твердо стоять на своем, чтобы подать пример?;
EVTDESC10205;Бои на улицах;
EVTNAME10215;Напряженность в одной из наших провинций недавно достигла точки кипения, когда либералы и реакционеры дерутся на улицах. Полиция $COUNTRY_ADJ$ быстро прибыла, но страсти остаются накаленными, и уже есть сообщения о боевых действиях в других частях штата. Власти призывают к решительным действиям, чтобы положить конец насилию.;
EVTDESC10215;Вдохновленные националисты;
EVTNAME10155;Поднялись националисты в $COUNTRY$, вдохновленные волной либерализма в соседнем народе. По улицам бегают агитаторы, размахивая флагами и призывая своих собратьев к борьбе за свободу. Ответное насилие могло бы воспламенить все государство, но чиновники $COUNTRY_ADJ$ согласны с тем, что это не может продолжаться.;
EVTDESC10155;Паннационалистический пыл;
EVTNAME10190_NEW;По частям $COUNTRY$ прокатился пыл, когда либерально настроенные революционеры призвали граждан $COUNTRY_ADJ$ подняться и потребовать объединения $CULTURE_GROUP_UNION$. Они начали размахивать на улицах флагами $UNION_ADJ$, разжигая беспорядки и насилие. Полиция столкнулась с трудностями в решении проблемы.;
EVTNAME10200_NEW;Огненная проповедь в $PROVINCENAME$;
EVTNAME10210_NEW;Либеральное восстание в $PROVINCENAME$;
EVTNAME10216;Либеральный бунт в $PROVINCENAME$;
EVTDESC10216;Националистический задор в $PROVINCENAME$;
