EVTNAME46306;Балаяда;
EVTDESC46306;В центре элитарного класса возник спор о политической власти, что нашло отражение в Маранго в оппозиции либералов и консерваторов. Когда Педро де Арахо Лима стал премьер-министром, спровоцировав так называемый консервативный регресс, консерваторы маранго воспользовались возможностью свергнуть либералов у власти и еще больше ослабить их, наняв на работу скотоводов, которых традиционно поддерживали либералы. Событием, положившим начало восстанию, было задержание брата владельца ранчо Гомеса, либерала, по приказу заместителя мэра города Манга, консерватора. Оспаривая задержание своего брата, Гомеш при поддержке отряда Национальной гвардии вторгся в муниципальную тюрьму и освободил его в $YEAR$, положив начало восстанию против консервативного правительства.;
EVTOPTA46306;Проклятые либералы.;
EVTNAME46305;Кабанагемская революция;
EVTDESC46305;До 1822 года Грё-Пар была отдельным от Бразилии вице-королевством, подчинявшимся непосредственно Португалии. Вице-королевство объединилось с Бразилией в борьбе против Португалии, но как только борьба за независимость закончилась и было установлено провинциальное правительство, назначенное бразильским императором, местные лидеры были отстранены от власти. В 1831 году в военном гарнизоне Белема вспыхнуло восстание с участием одного из этих местных лидеров, Батисты Кампоса, который был заключен в тюрьму. Возмущение бедноты росло, и уже в 1833 году заговорили о преобразовании Бразилии в федерацию. Президент провинции развязал репрессивную политическую волну, пытаясь сдержать сепаратистов. Название «Кабанагем» относится к типу хижин, используемых самыми бедными людьми в провинции. Элитные земледельцы Грго-Пара, хотя и жили намного лучше, возмущались отсутствием их участия в принятии решений центральным правительством, в котором доминировали юго-восточные и северо-восточные провинции.;
EVTOPTA46305;Нам нужно вернуть их на место.;
EVT96216OPTA;Великая судьба ждет!;
EVT96215OPTA;Возмутительно!;
EVTOPTD22581;Никогда больше не беспокой меня этим.;
EVTDESC22585;Несколько членов ближайшего окружения правительства собрались вместе с $COUNTRY_ADJ$ и $MONARCHTITLE$ в $CAPITAL$, чтобы подробно обсудить торговую политику правительства. Хотя все они согласны с политикой свободной торговли, некоторые из них хотят более либеральной политики в экономике $COUNTRY_ADJ$, в то время как другие предпочитают сохранить свободу установления низких тарифов. Третья, более радикальная позиция стойкого либерализма заключается в полной отмене тарифов. Свободная бюрократическая рабочая сила может быть использована в других областях, и они утверждают, что рыночная свобода будет стимулировать исследования и усилит наше влияние на зарубежных рынках.;
EVTOPTC22584;Внешняя торговля не должна регулироваться.;
EVTDESC22584;Несколько членов ближайшего окружения правительства собрались вместе с $COUNTRY_ADJ$ и $MONARCHTITLE$ в $CAPITAL$, чтобы подробно обсудить торговую политику правительства. Хотя все они согласны с политикой свободной торговли, некоторые из них хотят более либеральной политики в экономике $COUNTRY_ADJ$, в то время как другие предпочитают сохранить свободу установления низких тарифов. Снижая тарифы, мы высвобождаем часть бюрократической рабочей силы, которую можно использовать в других областях, утверждают они.;
EVTOPTA22584;Внешняя торговля должна быть свободной.;
EVTDESC22582;Несколько членов ближайшего окружения правительства собрались вместе с $COUNTRY_ADJ$ и $MONARCHTITLE$ в $CAPITAL$, чтобы подробно обсудить торговую политику правительства. Хотя все они согласны с протекционистской политикой, некоторые из них хотят более надежной защиты экономики $COUNTRY_ADJ$, в то время как другие предпочитают сохранять свободу при установлении тарифов. Третья, более радикальная позиция стойкого протекционизма, получившая название «Система $COUNTRY_ADJ$», выступает за очень высокие тарифы для развития и защиты промышленности $COUNTRY_ADJ$. Это будет стимулировать нашу промышленность, но, несомненно, повредит нашей способности влиять на другие страны.;
EVTOPTC22581;Интересы $COUNTRY_ADJ$ должны стоять на первом месте и превыше всего.;
EVTNAME22581;Кабинет министров обсуждает торговую политику;
EVTDESC22581;Несколько членов ближайшего окружения правительства собрались вместе с $COUNTRY_ADJ$ и $MONARCHTITLE$ в $CAPITAL$, чтобы подробно обсудить торговую политику правительства. Хотя все они согласны с протекционистской политикой, некоторые из них хотят более надежной защиты экономики $COUNTRY_ADJ$, в то время как другие предпочитают сохранять свободу при установлении тарифов.;
